lat,lng,city,state_id
44.8893,-91.9084,Menomonie,WI
44.0991,-87.6811,Manitowoc,WI
42.9726,-88.1291,New_Berlin,WI
42.8803,-87.9009,Oak_Creek,WI
43.5346,-89.997,Reedsburg,WI
44.8921,-91.42,Lake_Hallie,WI
43.1487,-88.1227,Menomonee_Falls,WI
43.2302,-89.3437,DeForest,WI
44.8761,-89.6173,Rothschild,WI
44.395,-88.7394,New_London,WI
43.0615,-88.0347,Wauwatosa,WI
42.7986,-87.8762,Caledonia,WI
44.4614,-89.5382,Plover,WI
45.1415,-89.1556,Antigo,WI
43.5932,-89.7841,Lake_Delton,WI
43.134,-88.2231,Sussex,WI
42.886,-88.1291,Muskego,WI
43.1132,-87.9003,Whitefish_Bay,WI
44.803,-91.4387,Altoona,WI
45.4863,-91.7447,Rice_Lake,WI
43.3354,-89.03,Columbus,WI
43.2343,-88.1217,Germantown,WI
43.0479,-88.0867,Elm_Grove,WI
43.7451,-87.9656,Plymouth,WI
43.3847,-87.8852,Port_Washington,WI
44.2778,-88.2645,Kaukauna,WI
44.4593,-87.9554,Bellevue,WI
42.9253,-88.8441,Fort_Atkinson,WI
42.9859,-89.4255,Fitchburg,WI
44.9359,-91.3902,Chippewa_Falls,WI
42.6749,-88.2724,Burlington,WI
44.2774,-88.3894,Appleton,WI
42.8386,-89.0698,Edgerton,WI
42.6995,-87.9019,Sturtevant,WI
42.8854,-88.0104,Franklin,WI
43.4184,-88.1823,West_Bend,WI
45.1229,-92.5339,New_Richmond,WI
42.9252,-89.3887,Oregon,WI
44.3928,-89.8265,Wisconsin_Rapids,WI
43.1581,-87.9013,Fox_Point,WI
42.5825,-88.4282,Lake_Geneva,WI
42.523,-89.0184,Beloit,WI
42.912,-87.8627,South_Milwaukee,WI
44.515,-87.9896,Green_Bay,WI
43.292,-89.7352,Prairie_du_Sac,WI
44.6352,-88.0664,Suamico,WI
43.3244,-88.1668,Jackson,WI
43.8436,-88.8386,Ripon,WI
45.1818,-89.7004,Merrill,WI
43.0908,-89.2026,Cottage_Grove,WI
44.4796,-88.0889,Ashwaubenon,WI
43.322,-88.3782,Hartford,WI
42.7751,-88.943,Milton,WI
43.8989,-91.0882,West_Salem,WI
43.0044,-88.8084,Jefferson,WI
42.9884,-89.5381,Verona,WI
43.0827,-89.3923,Madison,WI
43.0068,-88.0296,West_Allis,WI
43.1743,-87.975,Brown_Deer,WI
44.5703,-88.0921,Howard,WI
44.2236,-88.4787,Fox_Crossing,WI
